Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2002-04-25,Close entry(s) order long,0.27,1,0.32,-0.05,-15.62,0.29,90.63,-0.13,-40.62,-0.05,0.00
1,Entry long,2001-04-25,long,0.32,1,0.32,-0.05,-15.62,0.29,90.63,-0.13,-40.62,-0.05,0.00
2,Exit long,2004-07-02,Close entry(s) order long,0.16,1,0.11,0.05,45.45,0.12,109.09,0,0.00,0,0.00
2,Entry long,2003-04-11,long,0.11,1,0.11,0.05,45.45,0.12,109.09,0,0.00,0,0.00
3,Exit long,2006-07-21,Close entry(s) order long,0.31,1,0.19,0.12,63.16,0.34,178.95,-0.02,-10.53,0.12,0.00
3,Entry long,2004-12-27,long,0.19,1,0.19,0.12,63.16,0.34,178.95,-0.02,-10.53,0.12,0.00
4,Exit long,2007-04-26,Close entry(s) order long,0.55,1,0.48,0.07,14.58,0.17,35.42,-0.02,-4.17,0.19,0.00
4,Entry long,2006-09-13,long,0.48,1,0.48,0.07,14.58,0.17,35.42,-0.02,-4.17,0.19,0.00
5,Exit long,2008-02-08,Close entry(s) order long,0.61,1,0.6,0.01,1.67,0.39,65.00,-0.04,-6.67,0.2,0.00
5,Entry long,2007-06-06,long,0.6,1,0.6,0.01,1.67,0.39,65.00,-0.04,-6.67,0.2,0.00
6,Exit long,2010-06-04,Close entry(s) order long,0.31,1,0.28,0.03,10.71,0.19,67.86,-0.07,-25.00,0.23,0.00
6,Entry long,2009-04-20,long,0.28,1,0.28,0.03,10.71,0.19,67.86,-0.07,-25.00,0.23,0.00
7,Exit long,2011-07-18,Close entry(s) order long,0.35,1,0.36,-0.01,-2.78,0.29,80.56,-0.01,-2.78,0.22,0.00
7,Entry long,2010-12-17,long,0.36,1,0.36,-0.01,-2.78,0.29,80.56,-0.01,-2.78,0.22,0.00
8,Exit long,2012-05-07,Close entry(s) order long,0.31,1,0.38,-0.07,-18.42,0.01,2.63,-0.07,-18.42,0.15,0.00
8,Entry long,2012-03-02,long,0.38,1,0.38,-0.07,-18.42,0.01,2.63,-0.07,-18.42,0.15,0.00
9,Exit long,2015-07-30,Close entry(s) order long,0.5,1,0.36,0.14,38.89,0.23,63.89,-0.03,-8.33,0.29,0.00
9,Entry long,2013-05-10,long,0.36,1,0.36,0.14,38.89,0.23,63.89,-0.03,-8.33,0.29,0.00
10,Exit long,2018-11-14,Close entry(s) order long,5.16,1,0.57,4.59,805.26,6.75,1184.21,-0.01,-1.75,4.88,0.00
10,Entry long,2015-09-16,long,0.57,1,0.57,4.59,805.26,6.75,1184.21,-0.01,-1.75,4.88,0.00
11,Exit long,2022-04-21,Close entry(s) order long,21.71,1,4.21,17.5,415.68,30.44,723.04,-0.23,-5.46,22.38,0.02
11,Entry long,2019-08-23,long,4.21,1,4.21,17.5,415.68,30.44,723.04,-0.23,-5.46,22.38,0.02
12,Exit long,2025-03-21,Close entry(s) order long,116.94,1,18.91,98.03,518.40,134.22,709.78,-0.33,-1.75,120.41,0.12
12,Entry long,2023-01-25,long,18.91,1,18.91,98.03,518.40,134.22,709.78,-0.33,-1.75,120.41,0.12
13,Exit long,2026-02-18,Open,188.17,1,158.4,29.77,18.79,53.79,33.96,-6.91,-4.36,150.18,0.15
13,Entry long,2025-06-30,long,158.4,1,158.4,29.77,18.79,53.79,33.96,-6.91,-4.36,150.18,0.15
