Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,1999-04-14,MacdSE,0.04,1,0.04,0,0.00,0,0.00,0,0.00,0,0.00
1,Entry long,1999-04-09,MacdLE,0.04,1,0.04,0,0.00,0,0.00,0,0.00,0,0.00
2,Exit short,1999-05-12,MacdLE,0.04,1,0.04,0,0.00,0.01,25.00,0,0.00,0,0.00
2,Entry short,1999-04-14,MacdSE,0.04,1,0.04,0,0.00,0.01,25.00,0,0.00,0,0.00
3,Exit long,1999-05-25,MacdSE,0.04,1,0.04,0,0.00,0,0.00,-0.01,-25.00,0,0.00
3,Entry long,1999-05-12,MacdLE,0.04,1,0.04,0,0.00,0,0.00,-0.01,-25.00,0,0.00
4,Exit short,1999-06-08,MacdLE,0.04,1,0.04,0,0.00,0.01,25.00,0,0.00,0,0.00
4,Entry short,1999-05-25,MacdSE,0.04,1,0.04,0,0.00,0.01,25.00,0,0.00,0,0.00
5,Exit long,1999-06-21,MacdSE,0.04,1,0.04,0,0.00,0,0.00,-0.01,-25.00,0,0.00
5,Entry long,1999-06-08,MacdLE,0.04,1,0.04,0,0.00,0,0.00,-0.01,-25.00,0,0.00
6,Exit short,1999-06-22,MacdLE,0.04,1,0.04,0,0.00,0.01,25.00,0,0.00,0,0.00
6,Entry short,1999-06-21,MacdSE,0.04,1,0.04,0,0.00,0.01,25.00,0,0.00,0,0.00
7,Exit long,1999-07-23,MacdSE,0.04,1,0.04,0,0.00,0.01,25.00,-0.01,-25.00,0,0.00
7,Entry long,1999-06-22,MacdLE,0.04,1,0.04,0,0.00,0.01,25.00,-0.01,-25.00,0,0.00
8,Exit short,1999-08-12,MacdLE,0.05,1,0.04,-0.01,-25.00,0,0.00,-0.01,-25.00,-0.01,0.00
8,Entry short,1999-07-23,MacdSE,0.04,1,0.04,-0.01,-25.00,0,0.00,-0.01,-25.00,-0.01,0.00
9,Exit long,1999-09-09,MacdSE,0.06,1,0.05,0.01,20.00,0.01,20.00,-0.01,-20.00,0,0.00
9,Entry long,1999-08-12,MacdLE,0.05,1,0.05,0.01,20.00,0.01,20.00,-0.01,-20.00,0,0.00
10,Exit short,1999-10-07,MacdLE,0.05,1,0.06,0.01,16.67,0.03,50.00,0,0.00,0.01,0.00
10,Entry short,1999-09-09,MacdSE,0.06,1,0.06,0.01,16.67,0.03,50.00,0,0.00,0.01,0.00
11,Exit long,1999-10-20,MacdSE,0.04,1,0.05,-0.01,-20.00,0,0.00,-0.01,-20.00,0,0.00
11,Entry long,1999-10-07,MacdLE,0.05,1,0.05,-0.01,-20.00,0,0.00,-0.01,-20.00,0,0.00
12,Exit short,1999-10-25,MacdLE,0.04,1,0.04,0,0.00,0,0.00,-0.01,-25.00,0,0.00
12,Entry short,1999-10-20,MacdSE,0.04,1,0.04,0,0.00,0,0.00,-0.01,-25.00,0,0.00
13,Exit long,1999-12-01,MacdSE,0.07,1,0.04,0.03,75.00,0.05,125.00,0,0.00,0.03,0.00
13,Entry long,1999-10-25,MacdLE,0.04,1,0.04,0.03,75.00,0.05,125.00,0,0.00,0.03,0.00
14,Exit short,1999-12-23,MacdLE,0.09,1,0.07,-0.02,-28.57,0,0.00,-0.02,-28.57,0.01,0.00
14,Entry short,1999-12-01,MacdSE,0.07,1,0.07,-0.02,-28.57,0,0.00,-0.02,-28.57,0.01,0.00
15,Exit long,2000-01-06,MacdSE,0.09,1,0.09,0,0.00,0.01,11.11,0,0.00,0.01,0.00
15,Entry long,1999-12-23,MacdLE,0.09,1,0.09,0,0.00,0.01,11.11,0,0.00,0.01,0.00
16,Exit short,2000-02-11,MacdLE,0.11,1,0.09,-0.02,-22.22,0.02,22.22,-0.02,-22.22,-0.01,0.00
16,Entry short,2000-01-06,MacdSE,0.09,1,0.09,-0.02,-22.22,0.02,22.22,-0.02,-22.22,-0.01,0.00
17,Exit long,2000-03-03,MacdSE,0.12,1,0.11,0.01,9.09,0.03,27.27,-0.01,-9.09,0,0.00
17,Entry long,2000-02-11,MacdLE,0.11,1,0.11,0.01,9.09,0.03,27.27,-0.01,-9.09,0,0.00
18,Exit short,2000-03-08,MacdLE,0.17,1,0.12,-0.05,-41.67,0,0.00,-0.06,-50.00,-0.05,0.00
18,Entry short,2000-03-03,MacdSE,0.12,1,0.12,-0.05,-41.67,0,0.00,-0.06,-50.00,-0.05,0.00
19,Exit long,2000-03-22,MacdSE,0.2,1,0.17,0.03,17.65,0.14,82.35,-0.01,-5.88,-0.02,0.00
19,Entry long,2000-03-08,MacdLE,0.17,1,0.17,0.03,17.65,0.14,82.35,-0.01,-5.88,-0.02,0.00
20,Exit short,2000-04-28,MacdLE,0.19,1,0.2,0.01,5.00,0.08,40.00,-0.03,-15.00,-0.01,0.00
20,Entry short,2000-03-22,MacdSE,0.2,1,0.2,0.01,5.00,0.08,40.00,-0.03,-15.00,-0.01,0.00
21,Exit long,2000-05-11,MacdSE,0.17,1,0.19,-0.02,-10.53,0.01,5.26,-0.03,-15.79,-0.03,0.00
21,Entry long,2000-04-28,MacdLE,0.19,1,0.19,-0.02,-10.53,0.01,5.26,-0.03,-15.79,-0.03,0.00
22,Exit short,2000-05-17,MacdLE,0.21,1,0.17,-0.04,-23.53,0.01,5.88,-0.04,-23.53,-0.07,0.00
22,Entry short,2000-05-11,MacdSE,0.17,1,0.17,-0.04,-23.53,0.01,5.88,-0.04,-23.53,-0.07,0.00
23,Exit long,2000-06-29,MacdSE,0.28,1,0.21,0.07,33.33,0.16,76.19,-0.02,-9.52,0,0.00
23,Entry long,2000-05-17,MacdLE,0.21,1,0.21,0.07,33.33,0.16,76.19,-0.02,-9.52,0,0.00
24,Exit short,2000-07-17,MacdLE,0.31,1,0.28,-0.03,-10.71,0.06,21.43,-0.04,-14.29,-0.03,0.00
24,Entry short,2000-06-29,MacdSE,0.28,1,0.28,-0.03,-10.71,0.06,21.43,-0.04,-14.29,-0.03,0.00
25,Exit long,2000-07-24,MacdSE,0.29,1,0.31,-0.02,-6.45,0,0.00,-0.04,-12.90,-0.05,0.00
25,Entry long,2000-07-17,MacdLE,0.31,1,0.31,-0.02,-6.45,0,0.00,-0.04,-12.90,-0.05,0.00
