Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2020-04-23 00:00,L-TP1,7.18,1,7.06,0.12,1.69,0.12,1.69,-0.05,-0.71,0.12,0.00
1,Entry long,2020-04-22 20:00,L,7.06,1,7.06,0.12,1.69,0.12,1.69,-0.05,-0.71,0.12,0.00
2,Exit long,2020-09-10 19:00,L-TP1,13.01,1,12.56,0.45,3.57,0.45,3.58,-0.01,-0.08,0.57,0.00
2,Entry long,2020-09-09 20:00,L,12.56,1,12.56,0.45,3.57,0.45,3.58,-0.01,-0.08,0.57,0.00
3,Exit long,2020-09-25 21:00,L-TP1,12.65,1,12.45,0.2,1.60,0.21,1.68,-0.01,-0.09,0.77,0.00
3,Entry long,2020-09-25 20:00,L,12.45,1,12.45,0.2,1.60,0.21,1.68,-0.01,-0.09,0.77,0.00
4,Exit long,2020-10-21 21:00,L-TP1,13.55,1,13.73,-0.18,-1.32,0,0.00,-0.25,-1.83,0.59,0.00
4,Entry long,2020-10-21 20:00,L,13.73,1,13.73,-0.18,-1.32,0,0.00,-0.25,-1.83,0.59,0.00
5,Exit long,2021-06-17 19:00,L-TP1,17.98,1,17.84,0.14,0.77,0.14,0.78,-0.07,-0.40,0.72,0.00
5,Entry long,2021-06-17 01:00,L,17.84,1,17.84,0.14,0.77,0.14,0.78,-0.07,-0.40,0.72,0.00
6,Exit long,2021-08-02 20:00,L-TP1,19.87,1,19.69,0.18,0.90,0.18,0.91,-0.33,-1.68,0.9,0.00
6,Entry long,2021-08-02 19:00,L,19.69,1,19.69,0.18,0.90,0.18,0.91,-0.33,-1.68,0.9,0.00
7,Exit long,2022-03-31 22:00,L-TP1,27.48,1,27.93,-0.45,-1.62,0.32,1.14,-0.45,-1.62,0.45,0.00
7,Entry long,2022-03-31 20:00,L,27.93,1,27.93,-0.45,-1.62,0.32,1.14,-0.45,-1.62,0.45,0.00
8,Exit long,2022-04-05 19:00,L-TP1,26.81,1,27.19,-0.38,-1.41,0.36,1.32,-0.38,-1.40,0.07,0.00
8,Entry long,2022-04-04 20:00,L,27.19,1,27.19,-0.38,-1.41,0.36,1.32,-0.38,-1.40,0.07,0.00
9,Exit long,2022-12-22 00:00,L-TP1,16.62,1,16.4,0.22,1.33,0.22,1.34,-0.02,-0.13,0.28,0.00
9,Entry long,2022-12-21 21:00,L,16.4,1,16.4,0.22,1.33,0.22,1.34,-0.02,-0.13,0.28,0.00
10,Exit long,2023-02-01 21:00,L-TP1,20.18,1,19.71,0.47,2.37,0.47,2.38,-0.1,-0.51,0.75,0.00
10,Entry long,2023-02-01 20:00,L,19.71,1,19.71,0.47,2.37,0.47,2.38,-0.1,-0.51,0.75,0.00
11,Exit long,2023-07-27 19:00,L-TP1,46.51,1,45.35,1.16,2.55,1.16,2.55,-0.09,-0.20,1.91,0.00
11,Entry long,2023-07-27 01:00,L,45.35,1,45.35,1.16,2.55,1.16,2.55,-0.09,-0.20,1.91,0.00
12,Exit long,2023-08-02 19:00,L-TP1,45.8,1,46.59,-0.79,-1.71,0.2,0.42,-0.79,-1.70,1.11,0.00
12,Entry long,2023-08-01 21:00,L,46.59,1,46.59,-0.79,-1.71,0.2,0.42,-0.79,-1.70,1.11,0.00
13,Exit long,2024-03-12 21:00,L-TP1,91.06,1,88.59,2.46,2.78,2.61,2.94,-0.11,-0.13,3.57,0.00
13,Entry long,2024-03-12 20:00,L,88.59,1,88.59,2.46,2.78,2.61,2.94,-0.11,-0.13,3.57,0.00
14,Exit long,2024-04-01 21:00,L-TP1,89.98,1,91.37,-1.4,-1.53,0.39,0.42,-1.95,-2.14,2.18,0.00
14,Entry long,2024-04-01 20:00,L,91.37,1,91.37,-1.4,-1.53,0.39,0.42,-1.95,-2.14,2.18,0.00
15,Exit long,2024-04-03 21:00,L-TP1,89.15,1,90.17,-1.03,-1.14,0.18,0.19,-1.02,-1.14,1.15,0.00
15,Entry long,2024-04-03 20:00,L,90.17,1,90.17,-1.03,-1.14,0.18,0.19,-1.02,-1.14,1.15,0.00
16,Exit long,2024-10-16 23:00,L-TP1,136.13,1,134.43,1.69,1.25,1.69,1.26,-1.76,-1.31,2.83,0.00
16,Entry long,2024-10-16 20:00,L,134.43,1,134.43,1.69,1.25,1.69,1.26,-1.76,-1.31,2.83,0.00
17,Exit long,2024-11-01 23:00,L-TP1,135.53,1,137.19,-1.67,-1.22,0.03,0.02,-1.69,-1.23,1.16,0.00
17,Entry long,2024-11-01 20:00,L,137.19,1,137.19,-1.67,-1.22,0.03,0.02,-1.69,-1.23,1.16,0.00
18,Exit long,2025-08-21 21:00,L-TP1,174.52,1,176.47,-1.97,-1.11,0,0.00,-1.96,-1.11,-0.81,0.00
18,Entry long,2025-08-21 20:00,L,176.47,1,176.47,-1.97,-1.11,0,0.00,-1.96,-1.11,-0.81,0.00
19,Exit long,2025-10-17 21:00,L-TP1,180.88,1,183.28,-2.42,-1.32,0.06,0.03,-2.72,-1.48,-3.23,0.00
19,Entry long,2025-10-17 20:00,L,183.28,1,183.28,-2.42,-1.32,0.06,0.03,-2.72,-1.48,-3.23,0.00
20,Exit long,2025-12-11 20:00,L-TP1,180.26,1,183.79,-3.55,-1.93,0.7,0.38,-3.54,-1.93,-6.77,-0.01
20,Entry long,2025-12-11 02:00,L,183.79,1,183.79,-3.55,-1.93,0.7,0.38,-3.54,-1.93,-6.77,-0.01
